,Week,New Users,Resurrected Users,Churned Users,Retained Users,Quick Ratio
0,w2,723,932,828,932,0.5295454545454545
1,w3,732,1001,654,1001,0.6048338368580061
2,w4,947,1170,563,1170,0.6751298326601269
3,w5,799,1395,722,1395,0.6589513462446859
4,w6,676,1480,714,1480,0.6745670009115771
5,w7,1062,1488,668,1488,0.6901669758812616
6,w8,1198,1678,872,1678,0.6580392156862745
7,w9,956,1840,1036,1840,0.6397774687065368
8,w10,883,1939,857,1939,0.6934907010014306
9,w11,815,1932,890,1932,0.6846208362863218
10,w12,962,1945,802,1945,0.7080451401528941
11,w13,1059,2022,885,2022,0.695562435500516
12,w14,960,2092,989,2092,0.6790003245699449
13,w15,838,2116,936,2116,0.6933158584534731
14,w16,866,2201,753,2201,0.7450914014895057
15,w17,839,2207,860,2207,0.719595696119987
16,w18,890,2210,836,2210,0.7255416940249507
17,w19,788,2281,819,2281,0.7358064516129033
18,w20,837,2266,803,2266,0.7383512544802867
19,w21,812,2180,923,2180,0.7025459233000322
20,w22,958,2290,702,2290,0.7653743315508021
21,w23,762,2433,815,2433,0.7490763546798029
22,w24,684,2426,769,2426,0.7593114241001565
23,w25,723,2379,731,2379,0.764951768488746
24,w26,783,2405,697,2405,0.7753062540296582
25,w27,757,2429,759,2429,0.7619196988707654
26,w28,680,2396,790,2396,0.7520401757689893
27,w29,553,2293,783,2293,0.7454486345903771
28,w30,484,2202,644,2202,0.7737174982431483
29,w31,480,2173,513,2173,0.8090096798212956
30,w32,486,2072,581,2072,0.7810026385224275
31,w33,548,1982,576,1982,0.7748240813135262
32,w34,825,2110,420,2110,0.83399209486166
33,w35,660,2228,707,2228,0.7591141396933561
34,w36,930,2252,636,2252,0.7797783933518005
35,w37,769,2331,851,2331,0.7325581395348837
36,w38,1095,2307,793,2307,0.7441935483870967
37,w39,1276,2462,940,2462,0.7236919459141682
38,w40,1105,2642,1096,2642,0.7067950775815944
39,w41,1349,2665,1082,2665,0.7112356551908193
40,w42,704,2745,1269,2745,0.6838565022421524
41,w43,704,2446,1003,2446,0.7091910698753262
42,w44,865,2354,796,2354,0.7473015873015874
43,w45,782,2310,909,2310,0.7176141658900279
44,w46,1226,2358,734,2358,0.7626131953428201
45,w47,1024,2584,1000,2584,0.7209821428571429
46,w48,1168,2655,953,2655,0.7358647450110865
47,w49,1038,2826,997,2826,0.7392100444676956
48,w50,972,2783,1081,2783,0.7202380952380952
49,w51,1033,2769,986,2769,0.7374167776298269
50,w52,1004,2765,1037,2765,0.7272488164124146
51,w53,1026,2716,1053,2716,0.7206155478906872
52,w54,1152,2758,984,2758,0.7370390165686799
53,w55,995,2812,1098,2812,0.7191815856777494
54,w56,910,2787,1020,2787,0.7320724980299448
